MMS Id,Linked to NZ,Title,ISBN,ISSN,Linked to CZ
990005488340205516,No,": le gros-oeuvre : à l'usage des dessinateurs et constructeurs en génie civil (B. E. P.); des dessinateurs en bâtiment, des maçon et ouvriers en béton armé (C. A. P.)",,,No
990005488360205516,No,": le second oeuvre : à l'usage des dessinateurs et constructeurs en génie civil (B. E. P.); des dessinateurs en bâtiment, des maçons et ouvriers en béton armé (C. A. P.)",,,No
990005491260205516,No,1780-1850,2850880264; 9782850880261,,No
990005491890205516,No,,,,No
990005491910205516,No,,,,No
990005496450205516,No,,1851660763; 9781851660766,,No
990005497230205516,No,": Einheiten, Mathematik, physikalische Grundlagen, Grundlagen der Elektrotechnik, Messtechnik, automatisierungstechnik",,,No
990005515640205516,No,,,,No
990005515650205516,No,-,,,No
990005515790205516,No,,,,No
990005515800205516,No,,,,No
990005515830205516,No,-,0120255057; 9780120255054,,No
990005515850205516,No,,,,No
990005515870205516,No,,0120255073; 9780120255078,,No
990005515920205516,No,,012025512X; 9780120255122,,No
990005516210205516,No,,0471690805; 9780471690801,,No
990005516230205516,No,,0471690856; 9780471690856,,No
990005516250205516,No,,0471690864; 9780471690863,,No
990005516270205516,No,,0471690872; 9780471690870,,No
990005516290205516,No,,0471690880; 9780471690887,,No
990005518620205516,No,,,,No
990005518670205516,No,,,,No
990005518710205516,No,,,,No
990005519560205516,No,,,,No
990005519600205516,No,,,,No
990005519780205516,No,-,0387971394; 9780387971391; 3540971394; 9783540971399,,No
990005525040205516,No,,,,No
990005531030205516,No,,,,No
990005531050205516,No,,,,No
990005533840205516,No,,,,No
990005533920205516,No,,,,No
990005533930205516,No,,,,No
990005533940205516,No,,,,No
990005533980205516,No,,,,No
990005533990205516,No,,,,No
990005534000205516,No,,,,No
990005534010205516,No,,,,No
990005536330205516,No,Structures linéaires,2903607788; 9782903607784,,No
990005536390205516,No,,0120127164; 9780120127160,,No
990005536410205516,No,,0120127172; 9780120127177,,No
990005536430205516,No,,0120127180; 9780120127184,,No
990005536480205516,No,": materials, tools, roughing-in",0025829114; 9780025829114,,No
990005536540205516,No,": welding, heating, air conditioning",0025829122; 9780025829121,,No
990005536570205516,No,": water supply, drainage, calculations",0025829130; 9780025829138,,No
990005539210205516,No,: exercices et compléments,2763772242; 9782763772240; 2040186506; 9782040186500,,No
990005557120205516,No,,0471426024; 9780471426028,,No
990005565940205516,No,,,,No
990005566160205516,No,,,,No
990005569290205516,No,,0471258768; 9780471258766,,No
990005569310205516,No,,0471258792; 9780471258797,,No
990005569340205516,No,,0471258814; 9780471258810,,No
990005569400205516,No,,0471258733; 9780471258735,,No
990005569410205516,No,,0471029181; 9780471029182,,No
990005569450205516,No,,0471048348; 9780471048343,,No
990005569470205516,No,,0471056316; 9780471056317,,No
990005569490205516,No,,0471866369; 9780471866367,,No
990005569500205516,No,,0471886289; 9780471886280,,No
990005569510205516,No,,0471834696; 9780471834694,,No
990005569520205516,No,,0471521132; 9780471521136,,No
990005574540205516,No,,0120029014; 9780120029013,,No
990005574570205516,No,,0120029049; 9780120029044,,No
990005576900205516,No,,0120029030; 9780120029037,,No
990005586830205516,No,,,,No
990005591030205516,No,,0890063648; 9780890063644,,No
990005592260205516,No,,026206121X; 9780262061216,,No
990005595370205516,No,,,,No
990005595410205516,No,,0471576336; 9780471576334,,No
990005595440205516,No,,0471576344; 9780471576341,,No
990005595460205516,No,-,0387966528; 9780387966526; 3540966528; 9783540966524,,No
990005595500205516,No,,0471576352; 9780471576358,,No
990005595620205516,No,,0306406160; 9780306406164,,No
990005596120205516,No,,0306413221; 9780306413223,,No
990005596280205516,No,-,0306424215; 9780306424212,,No
990005598670205516,No,: basic principles and applications,3540130977; 9783540130970; 0387130977; 9780387130972,,No
990005598720205516,No,: time-dependent and vibration problems,3540139931; 9783540139935; 0387139931; 9780387139937,,No
990005598750205516,No,: computational aspects,3540161139; 9783540161134; 0387161139; 9780387161136,,No
990005610160205516,No,,0124086098; 9780124086098,,No
